"","est","L95%","U95%","se"
"PGS:baseline_discriminaition",0.0764215891165142,-0.071603421917585,0.224446600150613,0.0755243525910178
"shape",6.99432200542475,3.21150726062852,15.2328910836698,2.77764725460972
"rate",0.0869650430214456,0.00326527340154602,2.31616706403238,0.145631973801984
"PGS",0.548391374037685,-0.519512141164864,1.61629488924023,0.544858744153482
"baseline_discriminaition",0.421498098153163,-0.37592456351436,1.21892075982069,0.406855772839446
"scale(age)",-0.139986112975763,-0.407806431631863,0.127834205680338,0.136645530616192
"sex",-0.18174623875007,-0.793320647859199,0.429828170359059,0.312033493438221
"scale(wealth)",-0.0126738356265803,-1.22372524809684,1.19837757684368,0.617894727669934
"alcohol",-0.0808255585297463,-0.226486867618473,0.06483575055898,0.0743183600503296
"smoking",-0.0277400130170903,-0.0563291657731195,0.000849139738938944,0.0145865704582007
"physical_activity",-0.495528719321072,-1.03599942347353,0.0449419848313878,0.275755426332129
"data_AFT_input[, alternative_cov]",0.0885955815290532,0.0305577973463868,0.14663336571172,0.0296116585000852
"depression",-0.0758590782226267,-0.175483892614375,0.0237657361691213,0.0508299209462908
"pc1",-20.2051265023895,-53.0592150671492,12.6489620623702,16.7625981007348
"pc2",-23.7912913241966,-56.1697646576953,8.58718200930211,16.5199328094271
"pc3",-4.8435823691567,-26.0888351764769,16.4016704381635,10.8396138780611
"pc4",2.97971705117054,-30.3949451325729,36.354379234914,17.0282017664603
"pc5",-5.97833897579875,-26.3931311377761,14.4364531861786,10.4159016813608
"pc6",17.7339870711755,-4.65307618984748,40.1210503321984,11.4221809367974
"pc7",9.26787802371196,-10.5414888255992,29.0772448730231,10.1070055396757
"pc8",2.0102191667929,-22.3007823376005,26.3212206711863,12.403800118857
"pc9",16.4222101785909,-10.560388940009,43.4048092971908,13.766885173113
"pc10",13.3628163151242,-11.198378220658,37.9240108509064,12.5314519703004
"PGS:baseline_discriminaition",-0.172714940450996,-1.23384047958211,0.888410598680121,0.541400529551124
