"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value"
"discrimination23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","752","0.631484054175764","0.277986702389213","1.2927170457321","0.235314299834465"
"gene:discrimination23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","752","1.0487186765242","0.486249164261031","2.23661960187676","0.902310629088613"
"(Intercept)7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","752","0.177518168284987","0.0202179063337117","1.55118396219992","0.117781508564463"
"gene7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","752","0.933416312276212","0.748420592381224","1.16380988915889","0.539564904860979"
"discrimination7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","752","0.848016433405214","0.508798544067203","1.37832289925039","0.51514266583286"
"gene:discrimination7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","752","1.53256284976886","0.91391286928181","2.63366314014619","0.111547263903041"
"5","sleep_disturbance_w7","ELSA","wave 7","sleep_disturbance","NA","NA","NA","NA","NA","NA"
"(Intercept)15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","752","0.120725453956118","0.0137910258588879","1.03899502757626","0.0547460409527135"
"gene15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","752","0.898699278813533","0.711866267144528","1.13231274304661","0.365688758119977"
"discrimination15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","752","1.26282219671577","0.795110219264894","1.98329029861165","0.315804349244177"
"gene:discrimination15","sleep_disturbance_wave8","ELSA","wave 8","sleep_disturbance","3414","752","1.37137557932898","0.863969656120672","2.20441264658013","0.184457412228559"
"(Intercept)8","w6_depression_bin","ELSA","wave 6","Depression","3414","752","0.280417662806764","0.0645030604014321","1.22796676526895","0.0904509179062933"
"gene8","w6_depression_bin","ELSA","wave 6","Depression","3414","752","1.06282250699054","0.906207494701783","1.24779691078335","0.454911360730089"
"discrimination8","w6_depression_bin","ELSA","wave 6","Depression","3414","752","0.857219711013025","0.605795149061506","1.19304702986112","0.371899787064928"
"gene:discrimination8","w6_depression_bin","ELSA","wave 6","Depression","3414","752","0.96311535316158","0.685493448526713","1.35963165088339","0.829429268972571"
"(Intercept)16","w7_depression_bin","ELSA","wave 7","Depression","3414","752","0.0853920908035318","0.0174972971140238","0.416662191293689","0.00232439078999173"
"gene16","w7_depression_bin","ELSA","wave 7","Depression","3414","752","1.01986134028263","0.857082461260963","1.21491074420511","0.824973054409405"
"discrimination16","w7_depression_bin","ELSA","wave 7","Depression","3414","752","0.855865281057996","0.586811255577014","1.22325970156439","0.405063724452426"
"gene:discrimination16","w7_depression_bin","ELSA","wave 7","Depression","3414","752","0.850343619670748","0.590099134556327","1.22877366394066","0.385485177658972"
"(Intercept)24","w8_depression_bin","ELSA","wave 8","Depression","3414","752","0.0539662892941767","0.0121047495772082","0.239512868267682","0.000124468829138237"
"gene24","w8_depression_bin","ELSA","wave 8","Depression","3414","752","0.950812684794261","0.804250943315847","1.12457802987183","0.555032744023219"
"discrimination24","w8_depression_bin","ELSA","wave 8","Depression","3414","752","1.2067993584683","0.868522866339242","1.65741818342304","0.253389829437544"
"gene:discrimination24","w8_depression_bin","ELSA","wave 8","Depression","3414","752","0.900266092984252","0.651630956119492","1.2449970864459","0.524094940820971"
"(Intercept)9","w6_depression_bin","ELSA","wave 6","Depression","3414","752","0.282400368815753","0.0651012525163261","1.23371448293964","0.0917461052655228"
"gene9","w6_depression_bin","ELSA","wave 6","Depression","3414","752","1.07602773603478","0.920031718055574","1.25955486725127","0.360114237638761"
"discrimination9","w6_depression_bin","ELSA","wave 6","Depression","3414","752","0.850704540440757","0.59902508979003","1.18704892526878","0.35296787215774"
"gene:discrimination9","w6_depression_bin","ELSA","wave 6","Depression","3414","752","0.997200767574941","0.710728978980828","1.40487508104427","0.987113345843234"
"(Intercept)17","w7_depression_bin","ELSA","wave 7","Depression","3414","752","0.0850782356260016","0.017396079963413","0.415801239624883","0.00231685913506884"
"gene17","w7_depression_bin","ELSA","wave 7","Depression","3414","752","0.92072870554799","0.777012354984164","1.09111316435466","0.339898282250985"
"discrimination17","w7_depression_bin","ELSA","wave 7","Depression","3414","752","0.856440615775171","0.586861293795455","1.22466523822313","0.407758866760481"
"gene:discrimination17","w7_depression_bin","ELSA","wave 7","Depression","3414","752","1.07186084046142","0.7385827362184","1.5619298781853","0.716007152604901"
"(Intercept)25","w8_depression_bin","ELSA","wave 8","Depression","3414","752","0.0557365552660201","0.0124836261368627","0.247698068443098","0.000149932348619774"
"gene25","w8_depression_bin","ELSA","wave 8","Depression","3414","752","0.997488247912206","0.846211528650019","1.17638308106273","0.976108519996528"
"discrimination25","w8_depression_bin","ELSA","wave 8","Depression","3414","752","1.19974443201955","0.861444963746252","1.65053667300225","0.271413387182287"
"gene:discrimination25","w8_depression_bin","ELSA","wave 8","Depression","3414","752","1.04768632827921","0.758985535741089","1.45061364404357","0.77772126306643"
